SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
BLFR,Black Francolin,Francolinus francolinus,FRAFRA,Galliformes,Phasianidae,Phasianinae
BLAG,Black Guan,Chamaepetes unicolor,CHAUNI,Galliformes,Cracidae,
BLGU,Black Guillemot,Cepphus grylle,CEPGRY,Charadriiformes,Alcidae,
BLHE,Black Hawk-Eagle,Spizaetus tyrannus,SPITYR,Accipitriformes,Accipitridae,Accipitrinae
BLAK,Black Kite,Milvus migrans,MILMIG,Accipitriformes,Accipitridae,Accipitrinae
BLMA,Black Mamo,Drepanis funerea,DREFUN,Passeriformes,Fringillidae,Drepanidinae
BLNO,Black Noddy,Anous minutus,ANOMIN,Charadriiformes,Laridae,Sterninae
BLOR,Black Oropendola,Psarocolius guatimozinus,PSAGUA,Passeriformes,Icteridae,
BLOY,Black Oystercatcher,Haematopus bachmani,HAEBAC,Charadriiformes,Haematopodidae,
BLPH,Black Phoebe,Sayornis nigricans,SAYNIG,Passeriformes,Tyrannidae,Fluvicolinae
BLRA,Black Rail,Laterallus jamaicensis,LATJAM,Gruiformes,Rallidae,
BLRF,Black Rosy-Finch,Leucosticte atrata,LEUATT,Passeriformes,Fringillidae,Carduelinae
BLSC,Black Scoter,Melanitta americana,MELAME,Anseriformes,Anatidae,Anatinae
BLSK,Black Skimmer,Rynchops niger,RYNNIG,Charadriiformes,Laridae,Rynchopinae
BLSP,Black Storm-Petrel,Oceanodroma melania,OCEMEL,Procellariiformes,Hydrobatidae,
BLSW,Black Swift,Cypseloides niger,CYPNIG,Apodiformes,Apodidae,Cypseloidinae
BLTE,Black Tern,Chlidonias niger,CHLNIG,Charadriiformes,Laridae,Sterninae
BLTH,Black Thrush,Turdus infuscatus,TURINF,Passeriformes,Turdidae,
BLTU,Black Turnstone,Arenaria melanocephala,AREMEL,Charadriiformes,Scolopacidae,Scolopacinae
BLVU,Black Vulture,Coragyps atratus,CORATR,Accipitriformes,Cathartidae,
BAWB,Black-and-white Becard,Pachyramphus albogriseus,PACALB,Passeriformes,Tityridae,
BAWH,Black-and-white Hawk-Eagle,Spizaetus melanoleucus,SPIMEL,Accipitriformes,Accipitridae,Accipitrinae
BLWO,Black-and-white Owl,Ciccaba nigrolineata,CICNIG,Strigiformes,Strigidae,
BAWW,Black-and-white Warbler,Mniotilta varia,MNIVAR,Passeriformes,Parulidae,
BAYS,Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha,PHAMEL,Passeriformes,Ptilogonatidae,
BAYT,Black-and-yellow Tanager,Chrysothlypis chrysomelas,CHRCHR,Passeriformes,Thraupidae,
BBOR,Black-backed Oriole,Icterus abeillei,ICTABE,Passeriformes,Icteridae,
BBWO,Black-backed Woodpecker,Picoides arcticus,PICARC,Piciformes,Picidae,Picinae
BBNW,Black-banded Woodcreeper,Dendrocolaptes picumnus,DENPIM,Passeriformes,Furnariidae,Dendrocolaptinae
BLBH,Black-bellied Hummingbird,Eupherusa nigriventris,EUPNIG,Apodiformes,Trochilidae,Trochilinae
BBPL,Black-bellied Plover,Pluvialis squatarola,PLUSQU,Charadriiformes,Charadriidae,Charadriinae
BBSP,Black-bellied Storm-Petrel,Fregetta tropica,FRETRO,Procellariiformes,Hydrobatidae,
BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,DENAUT,Anseriformes,Anatidae,Dendrocygninae
BBEW,Black-bellied Wren,Pheugopedius fasciatoventris,PHEFAS,Passeriformes,Troglodytidae,
BBCU,Black-billed Cuckoo,Coccyzus erythropthalmus,COCERY,Cuculiformes,Cuculidae,Cuculinae
BLBF,Black-billed Flycatcher,Aphanotriccus audax,APHAUD,Passeriformes,Tyrannidae,Fluvicolinae
BBMA,Black-billed Magpie,Pica hudsonia,PICHUD,Passeriformes,Corvidae,
BBNT,Black-billed Nightingale-Thrush,Catharus gracilirostris,CATGRA,Passeriformes,Turdidae,
BBPA,Black-billed Parrot,Amazona agilis,AMAAGI,Psittaciformes,Psittacidae,Arinae
BBPU,Black-breasted Puffbird,Notharchus pectoralis,NOTPEC,Piciformes,Bucconidae,
BBWQ,Black-breasted Wood-Quail,Odontophorus leucolaemus,ODOLEU,Galliformes,Odontophoridae,
BBAL,Black-browed Albatross,Thalassarche melanophris,THAMEL,Procellariiformes,Diomedeidae,
BLBW,Blackburnian Warbler,Setophaga fusca,SETFUS,Passeriformes,Parulidae,
BCCH,Black-capped Chickadee,Poecile atricapillus,POEATR,Passeriformes,Paridae,
BCDO,Black-capped Donacobius,Donacobius atricapilla,DONATR,Passeriformes,Donacobiidae,
BCAF,Black-capped Flycatcher,Empidonax atriceps,EMPATR,Passeriformes,Tyrannidae,Fluvicolinae
BCGN,Black-capped Gnatcatcher,Polioptila nigriceps,POLNIG,Passeriformes,Polioptilidae,
BCPE,Black-capped Petrel,Pterodroma hasitata,PTEHAS,Procellariiformes,Procellariidae,
BPYT,Black-capped Pygmy-Tyrant,Myiornis atricapillus,MYIATP,Passeriformes,Tyrannidae,Platyrinchinae
BCSI,Black-capped Siskin,Spinus atriceps,SPIATC,Passeriformes,Fringillidae,Carduelinae
BCSW,Black-capped Swallow,Notiochelidon pileata,NOTPIL,Passeriformes,Hirundinidae,Hirundininae
BCVI,Black-capped Vireo,Vireo atricapilla,VIRATR,Passeriformes,Vireonidae,
BCAT,Black-cheeked Ant-Tanager,Habia atrimaxillaris,HABATR,Passeriformes,Cardinalidae,
BCWA,Black-cheeked Warbler,Basileuterus melanogenys,BASMEL,Passeriformes,Parulidae,
BCWO,Black-cheeked Woodpecker,Melanerpes pucherani,MELPUC,Piciformes,Picidae,Picinae
BCHJ,Black-chested Jay,Cyanocorax affinis,CYAAFF,Passeriformes,Corvidae,
BCHS,Black-chested Sparrow,Peucaea humeralis,PEUHUM,Passeriformes,Emberizidae,
BCHU,Black-chinned Hummingbird,Archilochus alexandri,ARCALE,Apodiformes,Trochilidae,Trochilinae
BCSP,Black-chinned Sparrow,Spizella atrogularis,SPIATG,Passeriformes,Emberizidae,
BCHA,Black-collared Hawk,Busarellus nigricollis,BUSNIG,Accipitriformes,Accipitridae,Accipitrinae
BCOR,Black-cowled Oriole,Icterus prosthemelas,ICTPRO,Passeriformes,Icteridae,
BCCO,Black-crested Coquette,Lophornis helenae,LOPHEL,Apodiformes,Trochilidae,Trochilinae
BCTI,Black-crested Titmouse,Baeolophus atricristatus,BAEATR,Passeriformes,Paridae,
BCNA,Black-crowned Antpitta,Pittasoma michleri,PITMIC,Passeriformes,Conopophagidae,
BCNH,Black-crowned Night-Heron,Nycticorax nycticorax,NYCNYC,Pelecaniformes,Ardeidae,
BPLT,Black-crowned Palm-Tanager,Phaenicophilus palmarum,PHAPAL,Passeriformes,Thraupidae,
BCRT,Black-crowned Tityra,Tityra inquisitor,TITINQ,Passeriformes,Tityridae,
BEWQ,Black-eared Wood-Quail,Odontophorus melanotis,ODOMEL,Galliformes,Odontophoridae,
BFAN,Black-faced Antthrush,Formicarius analis,FORANA,Passeriformes,Formicariidae,
BFGR,Black-faced Grassquit,Tiaris bicolor,TIABIC,Passeriformes,Emberizidae,
BFAG,Black-faced Grosbeak,Caryothraustes poliogaster,CARPOL,Passeriformes,Cardinalidae,
BFSO,Black-faced Solitaire,Myadestes melanops,MYAMEL,Passeriformes,Turdidae,
BFAL,Black-footed Albatross,Phoebastria nigripes,PHONIG,Procellariiformes,Diomedeidae,
BHEA,Black-headed Antthrush,Formicarius nigricapillus,FORNIG,Passeriformes,Formicariidae,
BHBF,Black-headed Brush-Finch,Arremon atricapillus,ARRATR,Passeriformes,Emberizidae,
BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,PHEMEL,Passeriformes,Cardinalidae,
BHGU,Black-headed Gull,Chroicocephalus ridibundus,CHRRID,Charadriiformes,Laridae,Larinae
BHNT,Black-headed Nightingale-Thrush,Catharus mexicanus,CASMEX,Passeriformes,Turdidae,
BHSA,Black-headed Saltator,Saltator atriceps,SALATR,Passeriformes,,
BHSI,Black-headed Siskin,Spinus notatus,SPINOT,Passeriformes,Fringillidae,Carduelinae
BHTF,Black-headed Tody-Flycatcher,Todirostrum nigriceps,TODNIG,Passeriformes,Tyrannidae,Platyrinchinae
BHTR,Black-headed Trogon,Trogon melanocephalus,TROMEC,Trogoniformes,Trogonidae,Trogoninae
BHOA,Black-hooded Antshrike,Thamnophilus bridgesi,THABRI,Passeriformes,Thamnophilidae,
BLKI,Black-legged Kittiwake,Rissa tridactyla,RISTRI,Charadriiformes,Laridae,Larinae
BMTO,Black-mandibled Toucan,Ramphastos ambiguus,RAMAMB,Piciformes,Ramphastidae,Ramphastinae
BNST,Black-necked Stilt,Himantopus mexicanus,HIMMEX,Charadriiformes,Recurvirostridae,
BLPW,Blackpoll Warbler,Setophaga striata,SETSTR,Passeriformes,Parulidae,
BPYE,Black-polled Yellowthroat,Geothlypis speciosa,GEOSPE,Passeriformes,Parulidae,
BRUW,Black-rumped Waxbill,Estrilda troglodytes,ESTTRO,Passeriformes,Estrildidae,
BSTS,Black-striped Sparrow,Arremonops conirostris,ARRCON,Passeriformes,Emberizidae,
BSWO,Black-striped Woodcreeper,Xiphorhynchus lachrymosus,XIPLAC,Passeriformes,Furnariidae,Dendrocolaptinae
BTFL,Black-tailed Flycatcher,Myiobius atricaudus,MYIATD,Passeriformes,Tyrannidae,Fluvicolinae
BTGN,Black-tailed Gnatcatcher,Polioptila melanura,POLMEL,Passeriformes,Polioptilidae,
BTGD,Black-tailed Godwit,Limosa limosa,LIMLIM,Charadriiformes,Scolopacidae,Scolopacinae
BTGU,Black-tailed Gull,Larus crassirostris,LARCRA,Charadriiformes,Laridae,Larinae
BTAT,Black-tailed Trogon,Trogon melanurus,TROMER,Trogoniformes,Trogonidae,Trogoninae
BTGG,Black-thighed Grosbeak,Pheucticus tibialis,PHETIB,Passeriformes,Cardinalidae,
BTBW,Black-throated Blue Warbler,Setophaga caerulescens,SETCAE,Passeriformes,Parulidae,
BTBO,Black-throated Bobwhite,Colinus nigrogularis,COLNIG,Galliformes,Odontophoridae,
BTYW,Black-throated Gray Warbler,Setophaga nigrescens,SETNIG,Passeriformes,Parulidae,
BTNW,Black-throated Green Warbler,Setophaga virens,SETVIR,Passeriformes,Parulidae,
BTJA,Black-throated Jay,Cyanolyca pumilo,CYAPUM,Passeriformes,Corvidae,
BTMJ,Black-throated Magpie-Jay,Calocitta colliei,CALCOL,Passeriformes,Corvidae,
BTMA,Black-throated Mango,Anthracothorax nigricollis,ANTNIG,Apodiformes,Trochilidae,Trochilinae
BTST,Black-throated Shrike-Tanager,Lanio aurantius,LANAUR,Passeriformes,Thraupidae,
BTSP,Black-throated Sparrow,Amphispiza bilineata,AMPBIL,Passeriformes,Emberizidae,
BTHT,Black-throated Trogon,Trogon rufus,TRORUS,Trogoniformes,Trogonidae,Trogoninae
BTWR,Black-throated Wren,Pheugopedius atrogularis,PHEATR,Passeriformes,Troglodytidae,
BTCO,Black-tipped Cotinga,Carpodectes hopkei,CARHOP,Passeriformes,Cotingidae,
BVOR,Black-vented Oriole,Icterus wagleri,ICTWAG,Passeriformes,Icteridae,
BVSH,Black-vented Shearwater,Puffinus opisthomelas,PUFOPI,Procellariiformes,Procellariidae,
BWVI,Black-whiskered Vireo,Vireo altiloquus,VIRALT,Passeriformes,Vireonidae,
BWPE,Black-winged Petrel,Pterodroma nigripennis,PTENIG,Procellariiformes,Procellariidae,
BWST,Black-winged Stilt,Himantopus himantopus,HIMHIM,Charadriiformes,Recurvirostridae,
BLBU,Blue Bunting,Cyanocompsa parellina,CYAPAR,Passeriformes,Cardinalidae,
BLCO,Blue Cotinga,Cotinga nattererii,COTNAT,Passeriformes,Cotingidae,
BLDA,Blue Dacnis,Dacnis cayana,DACCAY,Passeriformes,Thraupidae,
BLGR,Blue Grosbeak,Passerina caerulea,PASCAE,Passeriformes,Cardinalidae,
BLGD,Blue Ground-Dove,Claravis pretiosa,CLAPRE,Columbiformes,Columbidae,
BLJA,Blue Jay,Cyanocitta cristata,CYACRI,Passeriformes,Corvidae,
BLMO,Blue Mockingbird,Melanotis caerulescens,MELCAE,Passeriformes,Mimidae,
BMVI,Blue Mountain Vireo,Vireo osburni,VIROSB,Passeriformes,Vireonidae,
BLSE,Blue Seedeater,Amaurospiza concolor,AMSCON,Passeriformes,Cardinalidae,
BAGT,Blue-and-gold Tanager,Bangsia arcaei,BANARC,Passeriformes,Thraupidae,
BAWM,Blue-and-white Mockingbird,Melanotis hypoleucus,MELHYC,Passeriformes,Mimidae,
BAWS,Blue-and-white Swallow,Pygochelidon cyanoleuca,PYGCYA,Passeriformes,Hirundinidae,Hirundininae
BAYM,Blue-and-yellow Macaw,Ara ararauna,ARAARA,Psittaciformes,Psittacidae,Arinae
BGRA,Blue-black Grassquit,Volatinia jacarina,VOLJAC,Passeriformes,Emberizidae,
BGRO,Blue-black Grosbeak,Cyanocompsa cyanoides,CYACYD,Passeriformes,Cardinalidae,
BCAH,Blue-capped Hummingbird,Eupherusa cyanophrys,EUPCYP,Apodiformes,Trochilidae,Trochilinae
BCHH,Blue-chested Hummingbird,Amazilia amabilis,AMAAMB,Apodiformes,Trochilidae,Trochilinae
BCRC,Blue-crowned Chlorophonia,Chlorophonia occipitalis,CHLOCC,Passeriformes,Fringillidae,Euphoniinae
BCRM,Blue-crowned Manakin,Lepidothrix coronata,LEPCOR,Passeriformes,Pipridae,
BCMO,Blue-crowned Motmot,Momotus momota,MOMMOM,Coraciiformes,Momotidae,
BFBO,Blue-footed Booby,Sula nebouxii,SULNEB,Suliformes,Sulidae,
BFPA,Blue-fronted Parrotlet,Touit dilectissimus,TOUDIL,Psittaciformes,Psittacidae,Arinae
BGGN,Blue-gray Gnatcatcher,Polioptila caerulea,POLCAE,Passeriformes,Polioptilidae,
BGNO,Blue-gray Noddy,Procelsterna cerulea,PROCER,Charadriiformes,Laridae,Sterninae
BGTA,Blue-gray Tanager,Thraupis episcopus,THREPI,Passeriformes,Thraupidae,
BHHU,Blue-headed Hummingbird,Cyanophaia bicolor,CYABIC,Apodiformes,Trochilidae,Trochilinae
BHEP,Blue-headed Parrot,Pionus menstruus,PIOMEN,Psittaciformes,Psittacidae,Arinae
BHQD,Blue-headed Quail-Dove,Starnoenas cyanocephala,STACYA,Columbiformes,Columbidae,
BHVI,Blue-headed Vireo,Vireo solitarius,VIRSOL,Passeriformes,Vireonidae,
BTLH,Blue-tailed Hummingbird,Amazilia cyanura,AMACYR,Apodiformes,Trochilidae,Trochilinae
BLUE,Bluethroat,Luscinia svecica,LUSSVE,Passeriformes,Muscicapidae,
BTRG,Blue-throated Goldentail,Hylocharis eliciae,HYLELI,Apodiformes,Trochilidae,Trochilinae
BTHH,Blue-throated Hummingbird,Lampornis clemenciae,LAMCLE,Apodiformes,Trochilidae,Trochilinae
BTMO,Blue-throated Motmot,Aspatha gularis,ASPGUL,Coraciiformes,Momotidae,
BWTE,Blue-winged Teal,Anas discors,ANADIS,Anseriformes,Anatidae,Anatinae
BWWA,Blue-winged Warbler,Vermivora cyanoptera,VERCYA,Passeriformes,Parulidae,
BOBF,Boat-billed Flycatcher,Megarynchus pitangua,MEGPIT,Passeriformes,Tyrannidae,Tyranninae
BBHE,Boat-billed Heron,Cochlearius cochlearius,COCCOH,Pelecaniformes,Ardeidae,
BTGR,Boat-tailed Grackle,Quiscalus major,QUIMAJ,Passeriformes,Icteridae,
BOBO,Bobolink,Dolichonyx oryzivorus,DOLORY,Passeriformes,Icteridae,
BOWA,Bohemian Waxwing,Bombycilla garrulus,BOMGAR,Passeriformes,Bombycillidae,
BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,CHRPHI,Charadriiformes,Laridae,Larinae
BOPE,Bonin Petrel,Pterodroma hypoleuca,PTEHYP,Procellariiformes,Procellariidae,
BOCH,Boreal Chickadee,Poecile hudsonicus,POEHUD,Passeriformes,Paridae,
BOOW,Boreal Owl,Aegolius funereus,AEGFUN,Strigiformes,Strigidae,
BOSP,Botteri's Sparrow,Peucaea botterii,PEUBOT,Passeriformes,Emberizidae,
BOWR,Boucard's Wren,Campylorhynchus jocosus,CAMJOC,Passeriformes,Troglodytidae,
BREM,Brace's Emerald,Chlorostilbon bracei,CHLBRA,Apodiformes,Trochilidae,Trochilinae
BRAM,Brambling,Fringilla montifringilla,FRIMON,Passeriformes,Fringillidae,Fringillinae
BCOF,Bran-colored Flycatcher,Myiophobus fasciatus,MYIFAS,Passeriformes,Tyrannidae,Fluvicolinae
BRAC,Brandt's Cormorant,Phalacrocorax penicillatus,PHAPEN,Suliformes,Phalacrocoracidae,
BRAN,Brant,Branta bernicla,BRABER,Anseriformes,Anatidae,Anserinae
BRIN,Brant Intergrade,Branta b. bern. x nigri.,BRABBN,Anseriformes,Anatidae,Anserinae
BRBL,Brewer's Blackbird,Euphagus cyanocephalus,EUPCYC,Passeriformes,Icteridae,
BRSP,Brewer's Sparrow,Spizella breweri,SPIBRE,Passeriformes,Emberizidae,
BRWA,Brewster's Warbler,Vermivora chrysoptera x cyanoptera,VERCCY,Passeriformes,Parulidae,
BRQD,Bridled Quail-Dove,Geotrygon mystacea,GEOMYS,Columbiformes,Columbidae,
BRIS,Bridled Sparrow,Peucaea mystacalis,PEUMYS,Passeriformes,Emberizidae,
BRTE,Bridled Tern,Onychoprion anaethetus,ONYANA,Charadriiformes,Laridae,Sterninae
BRTI,Bridled Titmouse,Baeolophus wollweberi,BAEWOL,Passeriformes,Paridae,
BRAT,Bright-rumped Attila,Attila spadiceus,ATTSPA,Passeriformes,Tyrannidae,Tyranninae
BTCU,Bristle-thighed Curlew,Numenius tahitiensis,NUMTAH,Charadriiformes,Scolopacidae,Scolopacinae
BBIH,Broad-billed Hummingbird,Cynanthus latirostris,CYNLAT,Apodiformes,Trochilidae,Trochilinae
BBMO,Broad-billed Motmot,Electron platyrhynchum,ELEPLA,Coraciiformes,Momotidae,
BBIS,Broad-billed Sandpiper,Limicola falcinellus,LIMFAL,Charadriiformes,Scolopacidae,Scolopacinae
BBTO,Broad-billed Tody,Todus subulatus,TODSUB,Coraciiformes,Todidae,
BTAH,Broad-tailed Hummingbird,Selasphorus platycercus,SELPLA,Apodiformes,Trochilidae,Trochilinae
BWHA,Broad-winged Hawk,Buteo platypterus,BUTPLT,Accipitriformes,Accipitridae,Accipitrinae
BRMA,Bronze Mannikin,Lonchura cucullata,LONCUC,Passeriformes,Estrildidae,
BROC,Bronzed Cowbird,Molothrus aeneus,MOLAEN,Passeriformes,Icteridae,
BOPT,Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni,PSEPEL,Passeriformes,Tyrannidae,Elaeniinae
BTPL,Bronze-tailed Plumeleteer,Chalybura urochrysia,CHAURO,Apodiformes,Trochilidae,Trochilinae
BRHE,Bronzy Hermit,Glaucis aeneus,GLAAEN,Apodiformes,Trochilidae,Phaethornithinae
BRBO,Brown Booby,Sula leucogaster,SULLEU,Suliformes,Sulidae,
BRCR,Brown Creeper,Certhia americana,CERAME,Passeriformes,Certhiidae,Certhiinae
BRHO,Brown Hawk-Owl,Ninox scutulata,NINSCU,Strigiformes,Strigidae,
BRJA,Brown Jay,Psilorhinus morio,PSIMOR,Passeriformes,Corvidae,
BRNO,Brown Noddy,Anous stolidus,ANOSTO,Charadriiformes,Laridae,Sterninae
BRPE,Brown Pelican,Pelecanus occidentalis,PELOCC,Pelecaniformes,Pelecanidae,
BROS,Brown Shrike,Lanius cristatus,LANCRI,Passeriformes,Laniidae,
BRTH,Brown Thrasher,Toxostoma rufum,TOXRUF,Passeriformes,Mimidae,
BRTR,Brown Trembler,Cinclocerthia ruficauda,CINRUF,Passeriformes,Mimidae,
BRVI,Brown Violetear,Colibri delphinae,COLDEL,Apodiformes,Trochilidae,Trochilinae
BBSO,Brown-backed Solitaire,Myadestes occidentalis,MYAOCC,Passeriformes,Turdidae,
BBSC,Brown-billed Scythebill,Campylorhamphus pusillus,CAMPUS,Passeriformes,Furnariidae,Dendrocolaptinae
BCRF,Brown-capped Rosy-Finch,Leucosticte australis,LEUAUS,Passeriformes,Fringillidae,Carduelinae
BCTY,Brown-capped Tyrannulet,Ornithion brunneicapillus,ORNBRU,Passeriformes,Tyrannidae,Elaeniinae
BCAV,Brown-capped Vireo,Vireo leucophrys,VIRLEU,Passeriformes,Vireonidae,
BCMA,Brown-chested Martin,Progne tapera,PROTAP,Passeriformes,Hirundinidae,Hirundininae
BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus,MYITYR,Passeriformes,Tyrannidae,Tyranninae
BHCO,Brown-headed Cowbird,Molothrus ater,MOLATE,Passeriformes,Icteridae,
BHNU,Brown-headed Nuthatch,Sitta pusilla,SITPUS,Passeriformes,Sittidae,Sittinae
BHOP,Brown-hooded Parrot,Pyrilia haematotis,PYRHAE,Psittaciformes,Psittacidae,Arinae
BRTW,Brownish Twistwing,Cnipodectes subbrunneus,CNISUB,Passeriformes,Tyrannidae,Platyrinchinae
BTPA,Brown-throated Parakeet,Aratinga pertinax,ARAPER,Psittaciformes,Psittacidae,Arinae
BRYS,Bryan's Shearwater,Puffinus bryani,PUFBRY,Procellariiformes,Procellariidae,
BUDG,Budgerigar,Melopsittacus undulatus,MELUND,Psittaciformes,Psittacidae,Platycercinae
BBEH,Buff-bellied Hummingbird,Amazilia yucatanensis,AMAYUC,Apodiformes,Trochilidae,Trochilinae
BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons,EMPFUL,Passeriformes,Tyrannidae,Fluvicolinae
BBSA,Buff-breasted Sandpiper,Tryngites subruficollis,TRYSUB,Charadriiformes,Scolopacidae,Scolopacinae
BBRW,Buff-breasted Wren,Cantorchilus leucotis,CANLET,Passeriformes,Troglodytidae,
BCNI,Buff-collared Nightjar,Antrostomus ridgwayi,ANTRID,Caprimulgiformes,Caprimulgidae,Caprimulginae
BFFG,Buff-fronted Foliage-gleaner,Philydor rufum,PHIRUF,Passeriformes,Furnariidae,Furnariinae
BFQD,Buff-fronted Quail-Dove,Geotrygon costaricensis,GEOCOS,Columbiformes,Columbidae,
BUFF,Bufflehead,Bucephala albeola,BUCALB,Anseriformes,Anatidae,Anatinae
BNIB,Buff-necked Ibis,Theristicus caudatus,THECAU,Pelecaniformes,Threskiornithidae,Threskiornithinae
BURW,Buff-rumped Warbler,Myiothlypis fulvicauda,MYIFUL,Passeriformes,Parulidae,
BTFG,Buff-throated Foliage-gleaner,Automolus ochrolaemus,AUTOCH,Passeriformes,Furnariidae,Furnariinae
BTSA,Buff-throated Saltator,Saltator maximus,SALMAX,Passeriformes,,
BUTU,Buffy Tuftedcheek,Pseudocolaptes lawrencii,PSELAW,Passeriformes,Furnariidae,Furnariinae
BCWP,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,DENLEU,Galliformes,Odontophoridae,
BULS,Buller's Shearwater,Puffinus bulleri,PUFBUL,Procellariiformes,Procellariidae,
BUOR,Bullock's Oriole,Icterus bullockii,ICTBUL,Passeriformes,Icteridae,
BBOH,Bullock's x Baltimore Oriole Hybrid,Icterus bullockii x galb.,ICTBUG,Passeriformes,Icteridae,
BUPE,Bulwer's Petrel,Bulweria bulwerii,BULBUL,Procellariiformes,Procellariidae,
BUHU,Bumblebee Hummingbird,Atthis heloisa,ATTHEL,Apodiformes,Trochilidae,Trochilinae
BUOW,Burrowing Owl,Athene cunicularia,ATHCUN,Strigiformes,Strigidae,
BUSH,Bushtit,Psaltriparus minimus,PSAMIN,Passeriformes,Aegithalidae,
BCRJ,Bushy-crested Jay,Cyanocorax melanocyaneus,CYAMEL,Passeriformes,Corvidae,
CACG,Cackling Goose,Branta hutchinsii,BRAHUT,Anseriformes,Anatidae,Anserinae
CACW,Cactus Wren,Campylorhynchus brunneicapillus,CAMBRU,Passeriformes,Troglodytidae,
CACO,California Condor,Gymnogyps californianus,GYMCAL,Accipitriformes,Cathartidae,
CAGN,California Gnatcatcher,Polioptila californica,POLCAL,Passeriformes,Polioptilidae,
CAGU,California Gull,Larus californicus,LARCAL,Charadriiformes,Laridae,Larinae
CAQU,California Quail,Callipepla californica,CALCAL,Galliformes,Odontophoridae,
CATH,California Thrasher,Toxostoma redivivum,TOXRED,Passeriformes,Mimidae,
CALT,California Towhee,Melozone crissalis,MELCRI,Passeriformes,Emberizidae,
CAHU,Calliope Hummingbird,Selasphorus calliope,SELCAL,Apodiformes,Trochilidae,Trochilinae
CANG,Canada Goose,Branta canadensis,BRACAN,Anseriformes,Anatidae,Anserinae
CAWA,Canada Warbler,Cardellina canadensis,CADCAN,Passeriformes,Parulidae,
CAEM,Canivet's Emerald,Chlorostilbon canivetii,CHLCAV,Apodiformes,Trochilidae,Trochilinae
CANV,Canvasback,Aythya valisineria,AYTVAL,Anseriformes,Anatidae,Anatinae
CANT,Canyon Towhee,Melozone fusca,MEZFUS,Passeriformes,Emberizidae,
CANW,Canyon Wren,Catherpes mexicanus,CAPMEX,Passeriformes,Troglodytidae,
CMWA,Cape May Warbler,Setophaga tigrina,SETTIG,Passeriformes,Parulidae,
CSSS,Cape Sable Seaside-Sparrow,Ammodramus m. mirabilis,AMMMMI,Passeriformes,Emberizidae,
CVSH,Cape Verde Shearwater,Calonectris edwardsii,CALEDW,Procellariiformes,Procellariidae,
CAHE,Capped Heron,Pilherodius pileatus,PILPIL,Pelecaniformes,Ardeidae,
CAGR,Carib Grackle,Quiscalus lugubris,QUILUG,Passeriformes,Icteridae,
CARC,Caribbean Coot,Fulica caribaea,FULCAR,Gruiformes,Rallidae,
CADO,Caribbean Dove,Leptotila jamaicensis,LEPJAM,Columbiformes,Columbidae,
CAEL,Caribbean Elaenia,Elaenia martinica,ELAMAR,Passeriformes,Tyrannidae,Elaeniinae
CAMA,Caribbean Martin,Progne dominicensis,PRODOM,Passeriformes,Hirundinidae,Hirundininae
CATA,Carmiol's Tanager,Chlorothraupis carmioli,CHLCAR,Passeriformes,Cardinalidae,
CACH,Carolina Chickadee,Poecile carolinensis,POECAR,Passeriformes,Paridae,
CAPA,Carolina Parakeet,Conuropsis carolinensis,CONCAL,Psittaciformes,Psittacidae,Arinae
CARW,Carolina Wren,Thryothorus ludovicianus,THRLUD,Passeriformes,Troglodytidae,
CBCC,Carolina X Black-c. Chickadee Hybrid,Poecile caroli. x atrica.,POECAA,Passeriformes,Paridae,
CATE,Caspian Tern,Hydroprogne caspia,HYDCAS,Charadriiformes,Laridae,Sterninae
CAAU,Cassin's Auklet,Ptychoramphus aleuticus,PTYALE,Charadriiformes,Alcidae,
CAFI,Cassin's Finch,Haemorhous cassinii,HAECAS,Passeriformes,Fringillidae,Carduelinae
CAKI,Cassin's Kingbird,Tyrannus vociferans,TYRVOC,Passeriformes,Tyrannidae,Tyranninae
CASP,Cassin's Sparrow,Peucaea cassinii,PEUCAS,Passeriformes,Emberizidae,
CAVI,Cassin's Vireo,Vireo cassinii,VIRCAS,Passeriformes,Vireonidae,
CAEG,Cattle Egret,Bubulcus ibis,BUBIBI,Pelecaniformes,Ardeidae,
CATY,Cattle Tyrant,Machetornis rixosa,MACRIX,Passeriformes,Tyrannidae,Fluvicolinae
CASW,Cave Swallow,Petrochelidon fulva,PETFUL,Passeriformes,Hirundinidae,Hirundininae
CEDW,Cedar Waxwing,Bombycilla cedrorum,BOMCED,Passeriformes,Bombycillidae,
CAPO,Central American Pygmy-Owl,Glaucidium griseiceps,GLAGRI,Strigiformes,Strigidae,
CERW,Cerulean Warbler,Setophaga cerulea,SETCER,Passeriformes,Parulidae,
CHAS,Chapman's Swift,Chaetura chapmani,CHACHA,Apodiformes,Apodidae,Chaeturinae
CHHU,Charming Hummingbird,Amazilia decora,AMADEC,Apodiformes,Trochilidae,Trochilinae
