SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
YBWA,Yellow-browed Warbler,Phylloscopus inornatus,PHYINO,Passeriformes,Phylloscopidae,
YCCH,Yellow-collared Chlorophonia,Chlorophonia flavirostris,CHLFLR,Passeriformes,Fringillidae,Euphoniinae
YCBI,Yellow-crowned Bishop,Euplectes afer,EUPAFE,Passeriformes,Ploceidae,Ploceinae
YCEU,Yellow-crowned Euphonia,Euphonia luteicapilla,EUPLUT,Passeriformes,Fringillidae,Euphoniinae
YCNH,Yellow-crowned Night-Heron,Nyctanassa violacea,NYCVIO,Pelecaniformes,Ardeidae,
YCPA,Yellow-crowned Parrot,Amazona ochrocephala,AMAOCH,Psittaciformes,Psittacidae,Arinae
YCTY,Yellow-crowned Tyrannulet,Tyrannulus elatus,TYRELA,Passeriformes,Tyrannidae,Elaeniinae
YETO,Yellow-eared Toucanet,Selenidera spectabilis,SELSPT,Piciformes,Ramphastidae,Ramphastinae
YEJU,Yellow-eyed Junco,Junco phaeonotus,JUNPHA,Passeriformes,Emberizidae,
YFGR,Yellow-faced Grassquit,Tiaris olivaceus,TIAOLI,Passeriformes,Emberizidae,
YFGU,Yellow-footed Gull,Larus livens,LARLIV,Charadriiformes,Laridae,Larinae
YFCA,Yellow-fronted Canary,Serinus mozambicus,SERMOZ,Passeriformes,Fringillidae,Carduelinae
YGFI,Yellow-green Finch,Pselliophorus luteoviridis,PSELUT,Passeriformes,Emberizidae,
YGGR,Yellow-green Grosbeak,Caryothraustes canadensis,CATCAN,Passeriformes,Cardinalidae,
YGTY,Yellow-green Tyrannulet,Phylloscartes flavovirens,PHYFLA,Passeriformes,Tyrannidae,Elaeniinae
YGVI,Yellow-green Vireo,Vireo flavoviridis,VIRFLD,Passeriformes,Vireonidae,
YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,XANXAN,Passeriformes,Icteridae,
YHCA,Yellow-headed Caracara,Milvago chimachima,MILCHI,Falconiformes,Falconidae,Caracarinae
YHPA,Yellow-headed Parrot,Amazona oratrix,AMAORA,Psittaciformes,Psittacidae,Arinae
YHWA,Yellow-headed Warbler,Teretistris fernandinae,TERFER,Passeriformes,Parulidae,
YHOB,Yellow-hooded Blackbird,Chrysomus icterocephalus,CHRICT,Passeriformes,Icteridae,
YEFL,Yellowish Flycatcher,Empidonax flavescens,EMPFLS,Passeriformes,Tyrannidae,Fluvicolinae
YEPI,Yellowish Pipit,Anthus lutescens,ANTLUT,Passeriformes,Motacillidae,
YLGU,Yellow-legged Gull,Larus michahellis,LARMIC,Charadriiformes,Laridae,Larinae
YLPA,Yellow-lored Parrot,Amazona xantholora,AMAXAN,Psittaciformes,Psittacidae,Arinae
YMFL,Yellow-margined Flycatcher,Tolmomyias assimilis,TOLASS,Passeriformes,Tyrannidae,Platyrinchinae
YNPA,Yellow-naped Parrot,Amazona auropalliata,AMAAUR,Psittaciformes,Psittacidae,Arinae
YNAL,Yellow-nosed Albatross,Thalassarche chlororhynchos,THACHL,Procellariiformes,Diomedeidae,
YOFL,Yellow-olive Flycatcher,Tolmomyias sulphurescens,TOLSUL,Passeriformes,Tyrannidae,Platyrinchinae
YRCA,Yellow-rumped Cacique,Cacicus cela,CACCEL,Passeriformes,Icteridae,
YRWA,Yellow-rumped Warbler,Setophaga coronata,SETCOR,Passeriformes,Parulidae,
YSFL,Yellow-shafted Flicker,Colaptes a. auratus,COLAAU,Piciformes,Picidae,Picinae
YSBL,Yellow-shouldered Blackbird,Agelaius xanthomus,AGEXAN,Passeriformes,Icteridae,
YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus,LOXANO,Passeriformes,Emberizidae,
YTOR,Yellow-tailed Oriole,Icterus mesomelas,ICTMES,Passeriformes,Icteridae,
YTFI,Yellow-thighed Finch,Pselliophorus tibialis,PSETIB,Passeriformes,Emberizidae,
YTBU,Yellow-throated Bunting,Emberiza elegans,EMBELE,Passeriformes,Emberizidae,
YTBT,Yellow-throated Bush-Tanager,Chlorospingus flavigularis,CHLFLG,Passeriformes,Emberizidae,
YTEU,Yellow-throated Euphonia,Euphonia hirundinacea,EUPHIR,Passeriformes,Fringillidae,Euphoniinae
